Time_DR1,Front_DR1,Back_DR1,Time__F1,Back_F1,Front_F1,Time_F2,Front_F2,Back_F2,Time_B1,Back_B1,Front_B1,Time_B2,Back_B2,Front_B2,Time_C1,Back_C1,Front_C1,Time_C2,Back_C2,Front_C2
9.533,29.00484657,34.5094223,9,35.43944931,27.79030037,9.534,29.07270622,33.03538132,9.733,32.93034363,32.06027985,9.8,28.44690895,30.4083252,9.467,31.31706619,31.74232292,9.667,32.5356369,33.07474899
9.6,28.99127007,34.62606049,9.133,35.69654846,27.99588966,9.601,29.05913734,33.37612915,9.866,32.95661163,32.04704666,9.933,28.28310394,30.34123039,9.533,31.11720276,31.59631157,9.8,32.40378189,33.08786774
9.733,28.99127007,34.5094223,9.266,35.69654846,27.81773376,9.734,28.77382851,33.21897888,9.933,33.10098648,32.07350922,10,28.18744469,30.44856262,9.667,31.38361168,31.86165428,9.867,32.62785339,33.06162643
9.867,29.22185898,34.93655777,9.333,35.95311737,27.99588966,9.867,28.97769165,33.45462418,10.066,33.00913239,32.17929459,10.133,28.62410355,30.42173958,9.8,31.30375099,31.75558853,10,32.56199265,33.1796608
9.933,29.18120003,34.92363739,9.533,36.02998352,27.92740059,10,29.01842117,33.34994888,10.2,32.90407181,32.12641144,10.266,28.40597916,30.3546524,9.867,31.29043579,31.83514786,10.133,32.62785339,33.34994888
10.067,29.22185898,34.83314514,9.666,36.08119965,28.09170723,10.067,29.09983826,33.48078156,10.266,33.03538132,32.08673477,10.333,28.4605484,30.47538185,10,31.19718933,31.74232292,10.2,32.71999741,33.1796608
10.2,29.15408516,34.82021332,9.733,36.18357468,28.02327347,10.201,29.03199387,33.55921173,10.4,33.28448486,32.20572662,10.466,28.4605484,30.78335381,10.134,31.47671509,31.76885223,10.333,32.61468506,33.15344238
10.333,29.14052582,34.92363739,9.866,36.1579895,28.13274574,10.334,29.09983826,33.67676163,10.533,33.06162643,32.35099792,10.6,28.41962242,30.67632294,10.2,31.27712059,31.88815689,10.467,32.61468506,33.29758072
10.4,28.97769165,34.83314514,10,36.38806534,28.21478271,10.401,29.09983826,33.66370392,10.6,33.27138519,32.33779907,10.666,28.29676247,30.79672623,10.334,31.39691734,31.95438576,10.533,32.7068367,33.27138519
10.533,29.16764259,35.20759964,10.133,36.2986412,28.33773041,10.534,29.03199387,33.62453079,10.733,33.28448486,32.43016434,10.8,28.17377281,30.6361618,10.467,31.38361168,31.96762848,10.667,32.52246094,33.28448486
10.6,29.07270622,35.09151459,10.266,36.40083313,28.13274574,10.667,29.05913734,33.70286942,10.866,33.2058754,32.41697311,10.933,28.47418594,30.8902874,10.533,31.54317093,32.04704666,10.867,32.79891968,33.1927681
10.733,29.34375191,35.3235817,10.333,36.71964645,28.22845078,10.734,28.90977669,33.71591949,10.933,33.28448486,32.50927734,11,28.3650341,30.72985077,10.667,31.49000931,32.15285492,11,32.75946426,33.27138519
10.867,29.35728836,35.18181229,10.466,36.51570129,28.07802391,10.867,29.20830727,33.74201584,11.066,33.55921173,32.44335556,11.133,28.5696106,30.70309067,10.8,31.45012093,32.24536514,11.133,32.77261734,33.25828552
10.933,29.11340332,35.24627304,10.6,36.71964645,28.18744469,11,29.18120003,33.82027817,11.2,33.55921173,32.61468506,11.266,28.28310394,30.78335381,10.867,31.39691734,31.95438576,11.2,32.7331543,33.32376862
11.067,29.23540878,35.36221695,10.666,36.59222031,28.22845078,11.067,29.45199585,33.9245491,11.333,33.57227707,32.68051529,11.333,28.26944351,30.79672623,11,31.54317093,31.98086739,11.333,32.7068367,33.52000046
11.2,29.28959274,35.47805023,10.8,36.87239075,28.43326569,11.201,29.30313492,34.01571274,11.4,33.55921173,32.81206894,11.466,28.54235458,30.82346535,11.134,31.52988243,32.12641144,11.467,32.62785339,33.25828552
11.267,29.54662704,35.46518326,10.866,36.93597794,28.48782349,11.334,29.31667519,34.06777573,11.533,33.6375885,32.50927734,11.6,28.39233208,30.87692642,11.2,31.43682289,32.17929459,11.533,32.93034363,33.24518585
11.467,29.42494392,35.49091339,11,36.98682404,28.41962242,11.401,29.27604866,34.14583206,11.666,33.59840775,32.45654297,11.666,28.3650341,30.95707321,11.334,31.55645943,32.08673477,11.667,32.93034363,33.33686066
11.533,29.26250267,35.64517212,11.133,36.97411346,28.40597916,11.534,29.31667519,34.22383499,11.733,33.59840775,32.7331543,11.8,28.50145912,30.99712563,11.467,31.75558853,31.98086739,11.8,32.90407181,33.44154739
11.733,29.54662704,35.74790573,11.266,36.92326355,28.52872467,11.667,29.19475365,34.22383499,11.866,33.45462418,32.86465073,11.933,28.48782349,30.98377609,11.6,31.72905731,32.17929459,11.867,32.99600601,33.52000046
11.867,29.53311348,35.79924011,11.466,37.40552139,28.63772392,11.801,29.43847084,34.15883636,11.933,33.44154739,32.7068367,12,28.58323669,30.95707321,11.667,31.54317093,32.07350922,12,33.15344238,33.41538239
12,29.4114151,35.86338043,11.6,37.17731476,28.80103111,11.867,29.46551895,34.34074402,12.066,33.71591949,32.79891968,12.133,28.43326569,30.83683205,11.8,31.6759758,32.07350922,12.133,32.82521439,33.61146927
