Time,Time_Short,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6
28.601,28.601,49.53312749,42.30625672,29.74122062,31.70263438,17.8641949,15.94388512
28.734,28.734,48.99934608,41.33745238,29.38844635,31.10210102,17.67286851,15.36566011
28.867,28.867,49.81992363,42.22982696,29.82542928,30.79147435,17.37007674,15.94388512
28.934,28.934,48.53712753,42.37300357,29.45737211,30.94965387,17.41642943,15.57894867
29.067,29.067,49.89647048,42.44933151,29.49121645,31.58761556,17.82618111,15.6838875
29.201,29.201,50.16019973,42.45409151,29.97741317,31.44594585,18.18634229,15.86806118
29.267,29.267,49.55462129,42.21574551,29.85264017,30.88271865,18.28399094,16.11416062
29.401,29.401,48.91120724,42.01540821,29.83205764,31.72578272,18.27190513,15.80933758
29.534,29.534,49.37921924,41.8624927,29.5490695,32.12424787,18.55221546,15.9246364
29.601,29.601,50.40879372,42.38259484,29.97796807,31.75242852,17.39109709,16.11239917
29.734,29.734,50.08867251,43.26970543,29.85666199,32.01446759,17.73314482,15.93512876
29.867,29.867,49.34042655,42.34440796,29.29596497,31.9276982,17.55630205,16.55920755
29.934,29.934,50.38515665,42.6162012,30.10983779,31.88348878,18.18838374,16.03831123
30.067,30.067,50.42475371,42.65417936,29.30570387,31.33358448,17.56611732,16.67138564
30.201,30.201,49.90641302,42.88341263,29.84014709,32.00204578,17.3334884,16.34229935
30.267,30.267,49.89087048,43.15874915,30.03559203,32.02506685,18.64626993,16.68558927
30.401,30.401,50.2750811,42.72588985,30.33621507,32.88284874,18.13135033,16.44532909
30.467,30.467,50.62692373,42.1634161,29.77916823,31.79374121,18.18430593,16.34409644
30.601,30.601,50.32493124,43.02602925,30.28546384,32.56988534,18.47750134,16.54287593
30.667,30.667,50.66551279,42.91155516,30.81225034,32.12059769,17.78957751,17.19986233
30.867,30.867,50.37951083,43.78692612,31.28788342,32.81572006,18.41199157,16.44006001
30.934,30.934,51.33386718,43.27316215,30.01232659,31.55276322,18.92060863,16.35335171
31.134,31.134,50.21881132,42.11586195,30.70055079,31.89249968,19.08259614,16.60241406
31.334,31.334,50.511182,42.87246719,30.52856983,32.52424029,18.31242874,17.13884274
31.401,31.401,50.91294606,44.04429683,30.96039568,32.83119132,18.70076298,16.70162053
31.601,31.601,50.96159984,43.14481025,31.81067866,32.51837556,18.67665246,16.19599692
31.667,31.667,50.395481,43.7624185,31.32065867,32.50629994,18.90581446,16.8876982
31.867,31.867,50.74271128,43.2531498,31.70263438,33.6277958,19.08898523,17.12009802
32,32,51.25073779,43.78095448,31.10210102,32.28134811,19.03058746,16.79586846
32.134,32.134,51.20891092,43.6724622,30.79147435,32.9236727,18.83678179,17.22436485
32.201,32.201,50.89145225,44.0097754,30.94965387,33.50854643,18.53773184,17.27003536
32.334,32.334,51.21047383,43.93722491,31.58761556,32.91010035,19.05920852,17.00169375
32.467,32.467,51.16610659,44.09102624,31.44594585,33.97022026,18.65371793,16.47604761
32.534,32.534,50.62012737,44.3052159,30.88271865,33.02515481,19.64948879,16.93124581
32.667,32.667,50.94150603,43.9225071,31.72578272,33.36387309,18.90159919,16.92198036
32.734,32.734,51.49085034,44.20907415,32.12424787,33.69862047,18.63709103,16.6367064
32.867,32.867,50.60082266,43.69495382,31.75242852,33.48274064,18.85236505,17.78367206
33,33,50.6802306,43.96060744,32.01446759,32.7950968,18.93682316,16.54822138
33.134,33.134,51.3518839,44.67189852,31.9276982,33.24939391,18.95791478,16.86372513
33.201,33.201,51.24337125,44.93078123,31.88348878,33.42350795,19.29820616,17.44911304
33.334,33.334,51.25587961,44.20632506,31.33358448,33.16356634,19.47898929,17.26269937
33.467,33.467,51.73637451,44.38002675,32.00204578,34.18959245,19.52428816,17.46235958
33.534,33.534,50.98170382,44.64048764,32.02506685,33.35706146,20.08162519,17.67526123
33.667,33.667,51.7788683,44.3220617,32.88284874,33.86959343,19.80633958,17.02743846
33.801,33.801,51.14592624,44.98001028,31.79374121,33.58716528,18.6977288,17.14685073
34,34,51.35436826,44.06017536,32.56988534,33.9958886,19.5909892,17.60301111
34.134,34.134,52.35633476,45.07638112,32.12059769,34.46479151,20.0039227,16.68520745
34.267,34.267,51.18447966,44.82440168,32.81572006,34.69501242,19.68331277,17.34458658
34.334,34.334,51.24863016,45.27002897,31.55276322,33.55370785,20.34496244,17.37876692
